,A,B,C,G,R,X6,X8
364,6,1035.95,929.69,54.56,1094,79.3419,0.28600000000000003
365,7,1021.14,909.7,54.56,815,58.6503,0.2176
366,6,979.67,909.7,57.16,1028,78.7938,0.2917
367,7,977.26,909.7,57.16,954,86.5828,0.2823
368,7,988.96,759.75,52.19,3893,55.8181,0.325
369,8,1055.8,759.75,50.86,3199,67.9587,0.2914
370,9,1013.59,809.73,50.86,4055,74.7719,0.1409
371,7,965.01,809.73,53.12,3544,63.2901,0.3109
372,7,955.2,829.72,57.16,1576,39.9112,0.3249
373,10,1038.17,959.68,54.07,1036,82.4324,0.3211
374,10,1045.21,949.68,53.59,746,67.6944,0.3544
375,9,1040.39,949.68,52.65,1065,48.6385,0.35600000000000004
376,9,943.13,769.74,54.56,2471,26.8312,0.2925
377,7,864.56,769.74,54.56,1828,39.8796,0.2103
378,7,890.64,779.74,57.16,2569,55.8972,0.3158
379,9,977.26,859.71,55.57,1825,80.2192,0.3176
380,9,1000.38,899.7,55.57,1448,84.3232,0.3213
381,8,1013.23,909.7,53.12,1680,73.2738,0.3172
382,9,1015.02,909.7,53.12,1364,53.2258,0.3167
383,9,930.02,769.74,55.57,2941,41.9925,0.2509
384,9,894.86,769.74,57.16,1839,52.5285,0.1442
385,8,982.53,789.74,54.07,3109,62.68899999999999,0.3272
386,7,1037.06,959.68,52.65,1090,79.5413,0.3571
387,7,1057.43,969.68,52.65,733,86.3574,0.3503
388,8,1082.33,1009.66,51.74,840,78.2143,0.3198
389,9,1063.49,949.68,51.74,1417,77.2054,0.3255
390,9,966.57,759.75,53.59,3084,34.2412,0.3211
391,9,896.8,759.75,55.06,2201,37.0286,0.1439
392,9,848.81,709.76,61.88,1340,54.5522,0.3213
393,9,744.11,639.79,66.69,1956,17.3824,0.1723
394,11,701.77,629.79,64.54,1714,40.6068,0.1781
395,11,773.08,629.79,64.54,2481,41.3543,0.1797
396,9,863.35,419.86,54.07,8729,59.5372,0.3159
397,8,972.78,419.86,54.07,6762,74.96300000000001,0.2836
398,8,1046.96,949.68,53.59,1253,66.7199,0.2939
399,7,1052.34,949.68,51.3,2179,60.7618,0.2558
400,7,1062.72,959.68,51.3,1713,68.0677,0.2895
401,8,1066.57,969.68,52.65,1115,86.009,0.2885
402,8,1075.03,979.67,52.19,1169,79.0419,0.2862
403,7,1041.96,919.69,53.59,1406,82.7881,0.2584
404,6,1054.65,919.69,51.3,1657,69.5836,0.2918
405,6,1057.8,889.7,51.3,2047,83.3415,0.2801
406,7,1042.25,889.7,52.65,1461,87.4059,0.2843
407,7,1050.03,929.69,53.12,1112,85.7014,0.293
408,8,1059.26,919.69,50.02,1989,62.1418,0.2542
409,7,1010.73,909.7,53.12,1614,52.6022,0.2827
410,7,971.4,879.71,56.62,1300,72.4615,0.3195
411,6,984.67,879.71,56.62,1088,81.7096,0.2902
412,8,996.1,899.7,56.62,1514,74.5046,0.2868
413,7,1013.23,899.7,54.56,1956,78.2209,0.3172
414,6,1024.1,919.69,54.07,2389,66.262,0.2532
415,7,1011.51,929.69,54.07,1935,81.9638,0.2929
416,8,1007.07,929.69,54.07,1362,81.0573,0.2942
417,7,1032.62,949.68,54.07,1198,95.2421,0.2869
418,8,1054.46,959.68,52.65,2062,82.2987,0.281
419,6,1057.43,949.68,51.3,3036,79.1831,0.2802
420,6,1076.04,949.68,50.86,1991,88.5987,0.2602
421,8,1065.03,939.69,51.74,1585,74.0694,0.2528
422,7,1049.65,939.69,51.74,1943,70.5095,0.2565
423,8,1054.26,949.68,53.12,1741,66.2263,0.2554
424,6,1050.39,679.77,51.3,5056,70.0949,0.2468
425,8,1011.81,679.77,51.3,6179,52.3709,0.2471
426,8,1005.02,799.73,54.56,1511,48.1138,0.2132
427,6,1036.32,939.69,52.65,1206,35.9038,0.2144
428,7,987.17,419.86,52.65,8233,57.5003,0.3618
429,9,950.03,419.86,56.09,8816,61.5812,0.3267
430,8,1000.02,869.71,55.57,1764,72.5624,0.2857
431,7,969.33,499.83,55.57,7824,65.3758,0.249
432,8,1006.81,839.72,52.19,2232,52.733000000000004,0.3193
433,9,985.03,419.86,52.19,9496,80.0442,0.3263
434,7,1001.09,419.86,53.12,9080,87.4009,0.3211
435,9,964.68,819.73,53.12,3591,46.6444,0.2073
436,8,909.03,759.75,55.57,4122,52.8384,0.1834
437,8,1063.88,979.67,52.65,1224,69.3627,0.3254
438,7,1041.87,929.69,52.65,905,64.9724,0.1422
439,6,1015.02,919.69,55.06,1004,58.9641,0.3519
440,7,990.38,799.73,55.06,2351,30.8379,0.3606
441,6,976.46,799.73,56.09,1956,30.2658,0.3292
442,7,990.74,929.69,57.16,658,84.4985,0.3244
443,9,977.95,809.73,55.57,2961,60.1824,0.3173
444,8,1041.13,669.78,40.55,13666,59.5858,0.3202
445,8,960.37,669.78,40.55,15894,58.8524,0.2513
446,7,965.88,819.73,45.47,4730,77.5687,0.2856
447,9,981.4,829.72,45.47,5180,75.0,0.3162
448,10,993.24,839.72,51.3,3444,64.3438,0.3236
449,8,1035.95,889.7,51.3,2615,62.4474,0.28600000000000003
450,7,1048.17,889.7,53.12,2251,55.4865,0.2827
451,8,1050.8,849.72,52.65,2411,61.9245,0.2562
452,8,1044.1,849.72,51.3,3329,42.8056,0.3193
453,8,1084.44,859.71,50.86,2684,84.4262,0.2582
454,8,1087.24,979.67,50.86,1761,82.3964,0.2943
455,8,1082.33,919.69,50.86,2545,73.7917,0.2843
456,6,1086.95,919.69,50.86,2175,71.1264,0.2831
457,7,1106.03,1019.66,50.86,1466,87.8581,0.2893
458,8,1048.88,479.84,48.8,9782,72.5516,0.33
459,8,1057.05,479.84,48.8,13247,86.4196,0.3153
460,8,1100.79,1029.66,50.44,1113,88.4996,0.3145
461,9,1096.43,1039.65,51.3,566,88.6926,0.3283
462,8,1095.79,1019.66,50.86,954,84.696,0.3159
463,9,1087.71,1019.66,50.86,994,81.5895,0.3182
464,8,991.81,759.75,50.44,5447,26.4916,0.2881
465,8,915.18,759.75,50.44,7286,38.3612,0.2115
466,8,972.89,769.74,49.6,3110,59.1318,0.2203
467,8,1090.02,939.69,48.8,2126,94.1204,0.1764
468,10,1113.23,979.67,48.8,3085,89.8865,0.3234
469,9,1124.82,969.68,48.8,3294,60.3825,0.2489
470,9,1115.23,879.71,48.02,4986,64.4003,0.2511
471,8,1112.13,879.71,48.02,3590,83.0919,0.2623
472,6,1098.03,989.67,50.86,1275,53.3333,0.3279
473,8,1114.43,989.67,49.2,1304,73.9264,0.1436
474,6,1043.73,819.73,49.2,2219,49.6169,0.2129
